id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
180,agrl2007,fpea,alfa,fesc_mgt,oats_cc,fpea,fpea,alfa,fesc_mgt,oats_cc,fpea,fpea,alfa,fesc_mgt,oats_cc,fpea,fpea,alfa,fesc_mgt,oats_cc,fpea,fpea,alfa,fesc_mgt,oats_cc,fpea,fpea,alfa,fesc_mgt,oats_cc,fpea,fpea,alfa,fesc_mgt,oats_cc,fpea,0
181,agrl2015,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,0
182,agrl2016,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,fpea,barl,canp,trit,pota,0
183,agrl2017,fpea,barl,canp,trit,trit,fpea,barl,canp,trit,trit,fpea,barl,canp,trit,trit,fpea,barl,canp,trit,trit,fpea,barl,canp,trit,trit,fpea,barl,canp,trit,trit,fpea,barl,canp,trit,trit,0
184,agrl2026,fpea,canp,trit,alfa,canp,fpea,canp,trit,alfa,canp,fpea,canp,trit,alfa,canp,fpea,canp,trit,alfa,canp,fpea,canp,trit,alfa,canp,fpea,canp,trit,alfa,canp,fpea,canp,trit,alfa,canp,0
185,agrl2027,fpea,canp,trit,barl,canp,fpea,canp,trit,barl,canp,fpea,canp,trit,barl,canp,fpea,canp,trit,barl,canp,fpea,canp,trit,barl,canp,fpea,canp,trit,barl,canp,fpea,canp,trit,barl,canp,0
186,agrl2124,oats_cc,alfa,oats_cc,buck,alfa,oats_cc,alfa,oats_cc,buck,alfa,oats_cc,alfa,oats_cc,buck,alfa,oats_cc,alfa,oats_cc,buck,alfa,oats_cc,alfa,oats_cc,buck,alfa,oats_cc,alfa,oats_cc,buck,alfa,oats_cc,alfa,oats_cc,buck,alfa,0
187,agrl2128,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,0
188,agrl2159,oats_cc,barl,alfa,barl,barl,oats_cc,barl,alfa,barl,barl,oats_cc,barl,alfa,barl,barl,oats_cc,barl,alfa,barl,barl,oats_cc,barl,alfa,barl,barl,oats_cc,barl,alfa,barl,barl,oats_cc,barl,alfa,barl,barl,0
189,agrl2178,oats_cc,barl,buck,barl,oats_cc,oats_cc,barl,buck,barl,oats_cc,oats_cc,barl,buck,barl,oats_cc,oats_cc,barl,buck,barl,oats_cc,oats_cc,barl,buck,barl,oats_cc,oats_cc,barl,buck,barl,oats_cc,oats_cc,barl,buck,barl,oats_cc,0
190,agrl2248,oats_cc,berm,buck,rye,berm,oats_cc,berm,buck,rye,berm,oats_cc,berm,buck,rye,berm,oats_cc,berm,buck,rye,berm,oats_cc,berm,buck,rye,berm,oats_cc,berm,buck,rye,berm,oats_cc,berm,buck,rye,berm,0
191,agrl2272,oats_cc,canp,alfa,alfa,canp,oats_cc,canp,alfa,alfa,canp,oats_cc,canp,alfa,alfa,canp,oats_cc,canp,alfa,alfa,canp,oats_cc,canp,alfa,alfa,canp,oats_cc,canp,alfa,alfa,canp,oats_cc,canp,alfa,alfa,canp,0
192,agrl2284,oats_cc,canp,wwht,alfa,canp,oats_cc,canp,wwht,alfa,canp,oats_cc,canp,wwht,alfa,canp,oats_cc,canp,wwht,alfa,canp,oats_cc,canp,wwht,alfa,canp,oats_cc,canp,wwht,alfa,canp,oats_cc,canp,wwht,alfa,canp,0
